transfer,sendCpuUtil,sendDiskUtil,sendProcNum,sendTransferCpu,recvCpuUtil,recvDiskUtil,recvProcNum,recvTransferCpu,btlNckRate,dur,size,rate
204,95.6660333333,28.2221627648,836.394736842,3.04054054054,100.0,2.57316053512,612.456140351,4.98859649123,199.084727947,300.00,6.63,190
197,100.0,18.9169565217,1050.1,1.72962962963,100.0,13.6388294314,409.415300546,10.3573770492,109.855176191,300.06,3.67,105
182,100.0,21.2300724638,807.5,2.52553191489,100.0,18.5188405797,419.05,14.9822222222,157.965337563,300.08,5.28,151
111,78.8361,20.3498717949,598.044585987,7.21225806452,100.0,5.00421962096,615.946428571,5.91517857143,1000,300.00,7.53,216
239,100.0,25.3741360089,1142.3030303,2.24193548387,100.0,11.0761092531,535.807142857,7.34857142857,126.207567921,300.13,4.22,121
247,100.0,22.5112151616,1217.10714286,1.65769230769,100.0,7.12533444816,582.508196721,4.84344262295,98.3321330712,300.05,3.28,94.0
135,89.7689694656,25.4016411239,656.514018692,8.43333333333,100.0,28.0328180662,418.607843137,21.5437908497,354.39138844,253.45,10.0,339
187,100.0,18.7191081382,1017.75,1.7724137931,100.0,15.0360367893,410.300546448,10.2672131148,111.561627831,300.10,3.73,107
143,88.2837,24.6933890747,683.876106195,5.99369369369,100.0,30.089632107,415.944444444,21.2016666667,272.06262955,300.03,9.09,260
133,89.5543333333,20.019960981,652.4296875,4.37619047619,100.0,30.9790802676,417.440677966,19.5028248588,187.711272713,300.03,6.27,180
41,28.9036956522,25.4267176128,434.455782313,13.7096551724,100.0,14.5211594203,477.513274336,12.1486725664,1000,210.13,9.99,408
